CVEGEO	ola	defunciones	casos_totales	cfr
02005	06_interola_3	30	694	4.322766570605188
02005	07_ola_4	31	1598	1.9399249061326658
02999	01_ola_1	0	4	0
02999	02_interola_1	0	0	NA
02999	03_ola_2	0	1	0
02999	04_interola_2	0	0	NA
02999	05_ola_3	0	1	0
02999	06_interola_3	0	0	NA
02999	07_ola_4	0	1	0
03001	01_ola_1	43	411	10.46228710462287
03001	02_interola_1	18	344	5.232558139534884
03001	03_ola_2	105	1299	8.083140877598153
03001	04_interola_2	11	170	6.470588235294118
03001	05_ola_3	79	1922	4.1103017689906345
03001	06_interola_3	7	326	2.147239263803681
03001	07_ola_4	29	2933	0.9887487214456189
03002	01_ola_1	23	595	3.865546218487395
03002	02_interola_1	20	318	6.289308176100629
03002	03_ola_2	68	1201	5.661948376353039
03002	04_interola_2	14	235	5.957446808510638
03002	05_ola_3	31	1006	3.081510934393638
03002	06_interola_3	4	232	1.7241379310344827
03002	07_ola_4	22	2864	0.7681564245810056
03003	01_ola_1	185	2833	6.530180021178962
03003	02_interola_1	142	3601	3.9433490697028604
03003	03_ola_2	286	7245	3.9475500345065564
03003	04_interola_2	73	2548	2.864992150706436
03003	05_ola_3	276	6780	4.070796460176991
03003	06_interola_3	18	825	2.1818181818181817
03003	07_ola_4	103	22970	0.4484109708315194
03008	01_ola_1	153	1917	7.981220657276995
03008	02_interola_1	92	1843	4.991861096039067
03008	03_ola_2	196	5437	3.6049291888909325
03008	04_interola_2	157	4090	3.838630806845966
03008	05_ola_3	381	9320	4.087982832618025
03008	06_interola_3	5	380	1.3157894736842106
03008	07_ola_4	80	15928	0.5022601707684581
03009	01_ola_1	7	216	3.240740740740741
03009	02_interola_1	10	396	2.525252525252525
03009	03_ola_2	15	651	2.304147465437788
03009	04_interola_2	4	68	5.882352941176471
03009	05_ola_3	18	973	1.8499486125385407
03009	06_interola_3	2	61	3.278688524590164
03009	07_ola_4	5	1155	0.4329004329004329
03999	01_ola_1	0	1	0
03999	02_interola_1	0	0	NA
03999	03_ola_2	0	0	NA
03999	04_interola_2	0	0	NA
03999	05_ola_3	0	0	NA
03999	06_interola_3	0	1	0
03999	07_ola_4	0	1	0
04001	01_ola_1	44	191	23.036649214659686
04001	02_interola_1	4	47	8.51063829787234
04001	03_ola_2	6	37	16.216216216216218
04001	04_interola_2	1	9	11.11111111111111
04001	05_ola_3	16	265	6.037735849056604
04001	06_interola_3	3	12	25
04001	07_ola_4	2	224	0.8928571428571429
04002	01_ola_1	343	2233	15.360501567398119
04002	02_interola_1	37	490	7.551020408163265
04002	03_ola_2	112	1222	9.165302782324058
04002	04_interola_2	46	918	5.010893246187364
04002	05_ola_3	346	6243	5.542207272144802
04002	06_interola_3	12	212	5.660377358490566
04002	07_ola_4	46	5139	0.8951157812804047
04003	01_ola_1	357	1911	18.681318681318682
04003	02_interola_1	27	369	7.317073170731708
04003	03_ola_2	63	854	7.377049180327869
04003	04_interola_2	37	498	7.429718875502008
04003	05_ola_3	200	3026	6.609385327164573
04003	06_interola_3	13	193	6.7357512953367875
04003	07_ola_4	35	2762	1.2671976828385227
04004	01_ola_1	52	222	23.423423423423422
04004	02_interola_1	11	42	26.19047619047619
04004	03_ola_2	13	72	18.055555555555557
04004	04_interola_2	3	42	7.142857142857143
04004	05_ola_3	67	990	6.767676767676767
04004	06_interola_3	3	20	15
04004	07_ola_4	3	568	0.528169014084507
04005	01_ola_1	27	169	15.976331360946746
04005	02_interola_1	7	81	8.641975308641975
04005	03_ola_2	4	43	9.30232558139535
04005	04_interola_2	8	72	11.11111111111111
04005	05_ola_3	20	247	8.097165991902834
04005	06_interola_3	0	3	0
04005	07_ola_4	3	115	2.608695652173913
04006	01_ola_1	21	137	15.328467153284672
04006	02_interola_1	3	19	15.789473684210526
04006	03_ola_2	7	27	25.925925925925927
04006	04_interola_2	13	138	9.420289855072463
04006	05_ola_3	17	125	13.6
04006	06_interola_3	2	6	33.333333333333336
04006	07_ola_4	6	110	5.454545454545454
04007	01_ola_1	2	41	4.878048780487805
04007	02_interola_1	1	8	12.5
04007	03_ola_2	0	10	0
04007	04_interola_2	0	1	0
04007	05_ola_3	3	151	1.9867549668874172
04007	06_interola_3	0	11	0
04007	07_ola_4	2	122	1.639344262295082
04008	01_ola_1	5	51	9.803921568627452
04008	02_interola_1	1	4	25
04008	03_ola_2	4	11	36.36363636363637
04008	04_interola_2	1	35	2.857142857142857
04008	05_ola_3	7	46	15.217391304347826
04008	06_interola_3	0	2	0
04008	07_ola_4	0	30	0
04009	01_ola_1	36	420	8.571428571428571
