CVEGEO	ola	dias_ola	n	pruebas_dia_promedio
05034	01_ola_1	105	2	0.01904761904761905
05034	02_interola_1	77	45	0.5844155844155844
05034	03_ola_2	154	58	0.37662337662337664
05034	04_interola_2	77	16	0.2077922077922078
05034	05_ola_3	126	10	0.07936507936507936
05034	07_ola_4	119	5	0.04201680672268908
05035	01_ola_1	105	4474	42.60952380952381
05035	02_interola_1	77	8314	107.97402597402598
05035	03_ola_2	154	18857	122.44805194805195
05035	04_interola_2	77	5485	71.23376623376623
05035	05_ola_3	126	8718	69.19047619047619
05035	06_interola_3	56	5996	107.07142857142857
05035	07_ola_4	119	20335	170.88235294117646
05036	01_ola_1	105	23	0.21904761904761905
05036	02_interola_1	77	68	0.8831168831168831
05036	03_ola_2	154	81	0.525974025974026
05036	04_interola_2	77	42	0.5454545454545454
05036	05_ola_3	126	77	0.6111111111111112
05036	06_interola_3	56	40	0.7142857142857143
05036	07_ola_4	119	83	0.6974789915966386
05037	01_ola_1	105	11	0.10476190476190476
05037	02_interola_1	77	190	2.4675324675324677
05037	03_ola_2	154	207	1.344155844155844
05037	04_interola_2	77	80	1.0389610389610389
05037	05_ola_3	126	209	1.6587301587301588
05037	06_interola_3	56	139	2.482142857142857
05037	07_ola_4	119	317	2.6638655462184873
05038	01_ola_1	105	13	0.12380952380952381
05038	02_interola_1	77	89	1.155844155844156
05038	03_ola_2	154	591	3.8376623376623376
05038	04_interola_2	77	216	2.8051948051948052
05038	05_ola_3	126	248	1.9682539682539681
05038	06_interola_3	56	163	2.9107142857142856
05038	07_ola_4	119	510	4.285714285714286
05999	02_interola_1	77	1	0.012987012987012988
05999	05_ola_3	126	10	0.07936507936507936
05999	07_ola_4	119	1	0.008403361344537815
06001	01_ola_1	105	25	0.23809523809523808
06001	02_interola_1	77	96	1.2467532467532467
06001	03_ola_2	154	221	1.4350649350649352
06001	04_interola_2	77	83	1.077922077922078
06001	05_ola_3	126	458	3.634920634920635
06001	06_interola_3	56	542	9.678571428571429
06001	07_ola_4	119	491	4.126050420168068
06002	01_ola_1	105	218	2.0761904761904764
06002	02_interola_1	77	1347	17.493506493506494
06002	03_ola_2	154	3399	22.071428571428573
06002	04_interola_2	77	1392	18.07792207792208
06002	05_ola_3	126	6963	55.26190476190476
