V1	V2
11007	11009
11007	11011
11007	11035
11007	11039
11007	11044
11008	11012
11008	11023
11008	11025
11008	11026
11008	11031
11008	14048
11009	11003
11009	11005
11009	11007
11009	11035
11010	11019
11010	16031
11010	22008
11011	11007
11011	11018
11011	11027
11011	11028
11011	11039
11011	11044
11012	11001
11012	11008
11012	11023
11012	11026
11013	11032
11013	11033
11013	11040
11013	11043
11014	11003
11014	11015
11014	11027
11014	11029
11014	11030
11014	11033
11015	11014
11015	11017
11015	11020
11015	11027
11015	11030
11015	11037
11016	11001
11016	11042
11016	16113
11017	11001
11017	11015
11017	11024
11017	11026
11017	11027
11017	11037
11018	11011
11018	11027
11018	11028
11018	11042
11018	11046
11019	11002
11019	11004
11019	11010
11019	11038
11019	11039
11019	16031
11019	16050
11019	22006
11019	22008
11020	11015
11020	11025
11020	11026
11020	11030
11020	11031
11020	11037
11020	14053
11020	14109
11021	11041
11021	11046
11021	16020
11021	16036
11022	11030
11022	14053
11022	14064
11022	24046
11022	32038
11023	11001
11023	11008
11023	11012
11023	14033
11023	14048
11023	16004
11023	16060
11023	16067
11023	16069
11023	16113
11024	11001
11024	11017
11024	11027
11024	11042
11025	11008
11025	11020
11025	11031
11025	14008
11025	14048
11025	14072
11025	14109
11026	11001
11026	11008
11026	11012
11026	11017
11026	11020
11026	11031
11026	11037
11027	11003
11027	11011
11027	11014
11027	11015
11027	11017
11027	11018
11027	11024
11027	11035
11027	11042
11027	11044
11028	11002
11028	11011
11028	11018
11028	11036
11028	11039
11028	11046
11028	16078
11029	11014
11029	11030
11029	11033
11029	24032
11030	11014
11030	11015
11030	11020
11030	11022
11030	11029
11030	14053
11030	24032
11030	24046
11030	24050
11031	11008
11031	11020
11031	11025
11031	11026
11032	11003
11032	11013
11032	11033
11032	11040
11032	22011
11032	22014
11033	11003
11033	11013
11033	11014
11033	11029
11033	11032
11033	11043
11033	24032
11033	24043
11034	11040
11034	11043
11034	11045
11034	22013
11035	11003
11035	11007
11035	11009
11035	11027
11035	11044
11036	11028
11036	11046
11037	11015
11037	11017
11037	11020
11037	11026
11038	11002
11038	11019
11038	16050
11039	11002
11039	11004
11039	11007
11039	11011
11039	11019
11039	11028
11040	11013
11040	11032
11040	11034
11040	11043
11040	22005
11040	22011
11040	22013
11040	22018
11041	11021
11041	11046
11041	16020
11041	16078
11042	11001
11042	11016
11042	11018
11042	11024
11042	11027
11042	11046
11042	16071
11042	16113
11043	11013
11043	11033
11043	11034
11043	11040
11043	11045
11043	24024
11043	24027
11043	24032
11044	11007
11044	11011
11044	11027
11044	11035
11045	11006
11045	11034
11045	11043
11045	22003
11045	22013
11045	24027
11046	11018
11046	11021
11046	11028
11046	11036
11046	11041
11046	11042
11046	16036
11046	16071
11046	16078
11046	16054
12001	12021
12001	12053
12001	12029
12001	12039
12002	12010
12002	12019
12002	12066
12002	12074
12002	12024
12002	12028
12002	12045
12003	12007
12003	12022
12003	12054
12003	12057
12003	12067
12003	12050
12004	12062
12004	12066
12004	12069
12004	12043
12004	12065
12004	20016
12004	20152
12004	20242
12005	12066
12005	12033
12005	12065
12005	20251
12005	20567
12006	12007
12006	12054
12006	12058
12006	12026
12006	12032
12007	12003
12007	12006
12007	12054
12007	12058
12007	12064
12007	12067
12007	12031
12007	15105
12008	12019
12008	12034
12008	21032
12008	21087
12009	12020
12009	12069
12009	12041
12009	12043
12010	12002
12010	12020
12010	12066
12010	12072
12010	12076
12010	12024
12010	12028
12010	12079
12011	12014
12011	12021
12011	12054
12011	12057
12011	12032
12012	12052
12012	12056
12012	12076
12012	12025
12012	12030
12012	12051
12013	12023
12013	12052
12013	12036
12013	12046
12013	12077
12013	12080
12014	12011
12014	12021
12014	12057
12015	12055
12015	12034
12015	12035
12015	17001
12015	17017
12016	12022
12016	12068
12016	12073
12016	12038
12016	16010
12016	16029
12017	12058
12017	12059
12017	12075
12017	12026
12017	12035
12018	12052
12018	12025
12018	12030
12018	12077
12019	12002
12019	12008
12019	12074
12019	12034
12019	12042
12019	12045
12019	21032
12019	21081
12020	12009
12020	12010
12020	12063
12020	12066
12020	12069
12020	12072
12020	12041
12021	12001
12021	12011
12021	12014
12021	12029
12021	12032
12022	12003
12022	12016
12022	12057
12022	12073
12022	12038
12022	12048
12022	12050
12022	16038
12022	16077
12023	12013
12023	12046
12023	12077
12023	12080
12023	20180
12023	20402
12023	20485
12023	20507
12052	12012
12052	12013
12052	12018
12052	12063
12052	12076
12052	12025
12052	12036
12052	12041
12052	12043
12052	12077
12052	12081
12053	12001
12053	12056
12053	12030
12053	12039
12054	12003
12054	12006
12054	12007
12054	12011
12054	12057
12054	12032
12055	12015
12055	12058
12055	12060
12055	12035
12055	12037
12055	12047
12055	12049
12055	17001
12055	17005
12056	12012
12056	12053
12056	12030
12056	12039
12056	12051
12057	12003
12057	12011
12057	12014
12057	12022
12057	12054
12057	12048
12058	12006
12058	12007
12058	12017
12058	12055
12058	12026
12058	12031
12058	12035
12058	12037
12058	12047
12058	15008
12058	15105
12058	15080
12059	12017
12059	12075
12059	12034
12059	12035
12059	12042
12060	12055
12060	12047
12060	12049
12060	15117
12061	12074
12061	12075
12061	12028
12061	12029
12061	12042
